Brand,Mftr Code,Description,Dove Code,RRP,Price,Qty,Category 1,Category 2,Category 3,Image URL,Product URL
"ASUS","XONAR U7 MKII","ASUS Xonar U7 Mk II External Sound Card/DAC USB/headphone amp","AA013",229.00,134.00,9,"Sound Cards","","","http://www.dove.co.nz/images/products/16079-29229.jpg","http://www.dove.co.nz/jump/16079"
"ASUS","XONAR AE","ASUS Xonar AE 7.1 Channel PCIe Audio Card","AA118",149.00,79.00,6,"Sound Cards","","","http://www.dove.co.nz/images/products/16069-448199.jpg","http://www.dove.co.nz/jump/16069"
"ASUS","90YA00T0-M0AA00 ","ASUS Xonar SE 5.1 Channel PCIe Gaming Audio Card","AA123",89.00,52.00,5,"Sound Cards","","","http://www.dove.co.nz/images/products/18983-3610148.jpg","http://www.dove.co.nz/jump/18983"
"Digitus","DS-30102-1","Digitus SATA II 300 Raid PCI Express card, 2-Port","AC810",49.90,15.00,4,"IO Cards","","","http://www.dove.co.nz/images/products/11076-2712111.jpg","http://www.dove.co.nz/jump/11076"
"Digitus","DS-30104-1","Digitus SATA III PCI Express card, 4-port","AC812",149.00,89.00,5,"IO Cards","","","http://www.dove.co.nz/images/products/11079-2912111.jpg","http://www.dove.co.nz/jump/11079"
"Digitus","DS-30040-2","Digitus PCIe Interface Card 2xSerial 1xParallel","AC825",59.90,42.00,21,"IO Cards","","","http://www.dove.co.nz/images/products/3356-2612287.jpg","http://www.dove.co.nz/jump/3356"
"Digitus","DS-30220-4","Digitus PCIE USB3.0 2-Port Add-On Card","AC832",39.90,21.70,19,"IO Cards","","","http://www.dove.co.nz/images/products/14125-3312111.jpg","http://www.dove.co.nz/jump/14125"
"Digitus","DS-33001-1","Digitus 2-Port Serial PCI Interface Card","AC912",35.00,29.00,21,"IO Cards","","","http://www.dove.co.nz/images/products/2985-3712287.jpg","http://www.dove.co.nz/jump/2985"
"Viewsonic","TD1630-3","ViewSonic TD1630 15.6"" 16:9 1366x768 Touch Monitor","AF1600T",599.00,399.00,2,"Monitors","Touchscreens","","http://www.dove.co.nz/images/products/18976-529138.jpg","http://www.dove.co.nz/jump/18976"
"Viewsonic","VA708A","ViewSonic VA708a 17"" 5:4 1280x1024 LCD 5ms Monitor","AF1708",315.00,214.00,15,"Monitors","","","http://www.dove.co.nz/images/products/13899-161476.jpg","http://www.dove.co.nz/jump/13899"
"Viewsonic","VA951S","ViewSonic VA951S 19"" 5:4 1280x1024 LCD 14ms Monitor","AF1927",349.00,250.00,6,"Monitors","","","http://www.dove.co.nz/images/products/11759-361687.jpg","http://www.dove.co.nz/jump/11759"
"Viewsonic","TD2220","ViewSonic TD2220 22"" 16:9 1920x1080 FHD 5ms Touch Monitor","AF2220T",599.00,399.00,8,"Monitors","Touchscreens","","http://www.dove.co.nz/images/products/8815-3115206.jpg","http://www.dove.co.nz/jump/8815"
"Viewsonic","VX2257MHD","ViewSonic VX2257mhd 21.5"" 1920x1080 FHD 1ms 75Hz DP FreeSync Monitor","AF2257",279.00,188.00,21,"Monitors","","","http://www.dove.co.nz/images/products/13759-2116206.jpg","http://www.dove.co.nz/jump/13759"
"Viewsonic","VA2407H","ViewSonic VA2407H 23.6"" 1920x1080 FHD 5ms Monitor HDMI","AF2407",249.00,145.00,21,"Monitors","","","http://www.dove.co.nz/images/products/15512-109104.jpg","http://www.dove.co.nz/jump/15512"
"Viewsonic","VA2410-MH","ViewSonic VA2410-mh 23.8"" 1920x1080 FHD IPS Monitor","AF2410",299.00,185.00,21,"Monitors","","","http://www.dove.co.nz/images/products/19049-1611119.jpg","http://www.dove.co.nz/jump/19049"
"Viewsonic","TD2421","Viewsonic TD2421 23.6"" 16:9 1920x1080 FHD MVA 5ms Touch Monitor","AF2421T",799.00,491.00,0,"Monitors","Touchscreens","","http://www.dove.co.nz/images/products/15428-5011143.jpg","http://www.dove.co.nz/jump/15428"
"Viewsonic","VG2439SMH","ViewSonic VG2439smh 23.6"" 1920x1080 FHD DP USB Monitor Ergo stand","AF2439A",549.00,243.00,21,"Monitors","","","http://www.dove.co.nz/images/products/15051-5122312.jpg","http://www.dove.co.nz/jump/15051"
"Viewsonic","VX2457MHD","ViewSonic VX2457mhd 23.6"" 1920x1080 FHD 1ms 75Hz DP FreeSync Monitor","AF2457",299.00,195.00,21,"Monitors","","","http://www.dove.co.nz/images/products/13753-5810216.jpg","http://www.dove.co.nz/jump/13753"
"Viewsonic","VX2458-C-MHD","ViewSonic VX2458-C-MHD 23.6"" Curved 1920x1080 FHD 1ms 144Hz DP Monitor","AF2459",399.00,258.00,21,"Monitors","","","http://www.dove.co.nz/images/products/19358-3215511.jpg","http://www.dove.co.nz/jump/19358"
"Viewsonic","VP2468","ViewSonic VP2468 23.8"" 16:9 1920x1080 FHD 5ms DP Monitor","AF2468",799.00,491.00,0,"Monitors","","","http://www.dove.co.nz/images/products/14333-213287.jpg","http://www.dove.co.nz/jump/14333"
"Viewsonic","VX2476SMHD","ViewSonic VX2476smhd 23.8"" 1920x1080 FHD IPS 7ms DP Monitor","AF2476",399.00,266.00,0,"Monitors","","","http://www.dove.co.nz/images/products/15511-39104.jpg","http://www.dove.co.nz/jump/15511"
"Viewsonic","VA2710-MH","ViewSonic VA2710-mh 27"" 1920x1080 FHD IPS Monitor","AF2710",349.00,245.00,21,"Monitors","","","http://www.dove.co.nz/images/products/19050-5811119.jpg","http://www.dove.co.nz/jump/19050"
